id,sold_at,category,brand,model,name,condition,acquisition_price,sale_price,days_to_sell
1,2026-08-28,工具,Makita,TD173DRGX,18V インパクトドライバ セット,B,27000,39800,11
2,2026-08-14,工具,Makita,TD173DRGX,18V インパクトドライバ セット,A,29500,43800,8
3,2026-07-31,工具,Makita,TD173DRGX,18V インパクトドライバ,B,28000,40500,15
4,2026-07-11,工具,Makita,TD173DRGX,18V インパクト 本体,C,23500,35000,22
5,2026-06-26,工具,Makita,TD173DRGX,インパクトドライバ,B,28200,41200,13
6,2026-06-02,工具,Makita,TD173DRGX,充電式インパクトドライバ,B,27500,40000,17
7,2026-05-19,工具,Makita,TD173DRGX,18V インパクト,A,29800,44500,10
8,2026-04-28,工具,Makita,TD173DRGX,インパクトドライバ,C,22900,34800,26
9,2026-03-30,工具,Makita,TD172DRGX,旧型 インパクトドライバ,B,24000,35500,19
10,2026-03-10,工具,HiKOKI,WH36DD,36V インパクトドライバ,B,25000,37000,18
